,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
3970,PPH,Hàng cá nhân,2019.0,1.908994,0.06111,249.22507,-3987.976678,0.218855,0.402427,0.013822,0.033061,0.479188,0.543837,2.391823,0.660377,1.944439,0.089251,0.688479,-0.003159,3.360779,1.534932,0.648636,0.06399,-3.068394,0.296244,-0.25763,-0.014854,-0.04969,-0.087699,-0.01693,0.067178
3971,PPI,Bất động sản,2016.0,1.971919,-0.132239,542.481553,-3112836.536298,0.050408,0.163701,0.002316,0.007363,0.735409,0.307927,3.17956,0.497658,0.990674,-0.013105,0.499961,-0.000136,4.908027,0.336417,2.972502,0.006947,-4.770203,0.203748,,,,,,
3972,PPI,Bất động sản,2017.0,2.293718,-2.060555,5965.527004,,0.051935,0.233416,0.001956,0.006493,0.656913,0.222498,3.319439,0.487807,0.952388,-0.082901,0.04316,0.00026,0.917326,0.072522,13.788839,-0.013993,-1.186761,1.090125,-0.158475,-2.645115,-0.79064,-0.270392,0.571292,1.450799
3973,PPI,Bất động sản,2018.0,2.421044,-3.172734,3494.215343,-1046432.99476,0.035072,0.201971,0.001277,0.003506,0.607524,0.173651,2.745551,0.574724,1.351412,-0.349383,0.067863,0.0,2.178159,0.125745,7.952576,-0.032165,-3.09526,0.459103,-0.481219,0.765822,0.353062,-0.289556,0.817507,0.896703
3974,PPI,Bất động sản,2019.0,4.784816,-23.646627,13794.620912,-490939.050569,0.035348,0.275535,0.001565,0.003608,0.336733,0.128287,2.305879,0.779625,3.537719,-0.905419,0.022371,0.0,0.456479,0.047918,20.869083,-0.044934,-1.727689,2.190681,-0.306499,-0.038725,-0.612907,-0.618606,0.132862,0.083214
3975,PPP,Dược phẩm,2016.0,1.793578,0.084922,29.339098,-1520.958603,0.160254,0.385323,0.107566,0.280882,0.147568,0.415895,2.611241,0.438797,0.781886,0.062901,1.870888,-0.022008,5.72797,6.220368,0.158283,0.178071,-4.616789,0.17189,,,,,,
3976,PPP,Dược phẩm,2017.0,1.77284,0.056922,53.000613,-2017.513264,0.146959,0.45498,0.044453,0.122024,0.122823,0.323001,2.744991,0.513987,1.057559,0.054755,0.948679,-0.021097,5.841623,6.989532,0.140089,0.180889,-4.610743,0.167617,0.069845,0.185091,0.068444,-0.028994,0.449146,-0.268662
3977,PPP,Dược phẩm,2018.0,1.772011,0.060095,45.097524,-1299.147311,0.201855,0.552205,0.078595,0.285383,0.077144,0.365543,3.631033,0.391512,0.643417,0.056166,0.816978,-0.0166,3.949758,10.334881,0.096214,0.178279,-3.066554,0.251752,0.40738,0.009849,-0.063967,-0.356437,0.009148,0.00463
3978,PPP,Dược phẩm,2019.0,1.731721,0.10127,30.237834,-386.823941,0.232546,0.579246,0.060128,0.247832,0.081617,0.401463,4.121739,0.328501,0.489205,0.062455,0.968714,-0.030638,4.114168,11.722262,0.0846,0.250814,-3.035611,0.241046,0.155687,0.411312,0.144026,0.061319,0.189886,1.028576
3979,PPS,Tư vấn & Hỗ trợ Kinh doanh,2016.0,1.931828,0.025809,63.320423,-15852003.216916,0.802827,0.823469,0.01461,0.015592,0.140145,0.974932,1.067181,0.937851,15.090456,0.009047,0.809061,-0.033606,0.503124,2.882167,0.346961,0.027536,-0.468825,1.987581,,,,,,
3980,PPS,Tư vấn & Hỗ trợ Kinh doanh,2017.0,1.940082,0.023254,117.628035,,0.814982,0.838005,0.0075,0.008014,0.147119,0.972526,1.068548,0.936658,14.787218,0.008405,0.44575,-0.033201,0.551461,3.054887,0.327344,0.026929,-0.518419,1.813365,-0.002029,-0.038585,0.103538,0.032004,-0.082432,-0.014431
3981,PPS,Tư vấn & Hỗ trợ Kinh doanh,2018.0,1.759979,0.067249,518.626226,,0.834702,0.855548,0.004997,0.005335,0.139968,0.975634,1.067663,0.937292,14.946886,0.005598,0.103169,-0.022617,0.122515,0.730616,1.343608,0.023093,-0.094848,8.012617,0.000243,-0.162488,-0.816999,-0.070853,-0.040442,-0.357362
3982,PPS,Tư vấn & Hỗ trợ Kinh doanh,2019.0,1.712124,0.088408,663.698374,,0.039954,0.045681,0.067475,0.111449,0.75644,0.874633,1.651702,0.609499,1.560812,0.029868,0.124202,-0.023431,11.289066,0.596266,1.676365,0.129702,-8.042756,0.088542,-0.99242,-0.110583,-0.357238,-0.144161,-0.088907,-0.081771
3983,PPY,Nước & Khí đốt,2016.0,1.936122,0.015299,13.014097,-76.067069,0.311027,0.474037,0.000984,0.002526,0.499376,0.656124,2.567776,0.389442,0.637846,0.070966,14.111298,-0.039582,22.515311,14.023254,0.07131,0.447281,-21.077233,0.044414,,,,,,
